POS_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Avg_x,BF,SR_x,100,50,4s,6s,POS_y,Mat_y,Inns_y,Ov,Runs_y,Wkts,BBI,Avg_y,Econ,SR_y,4w,5w
115.0,Jayant Yadav,5.0,2.0,0.0,6.0,5,3.0,10.0,60.0,0.0,0.0,0.0,0.0,64.0,5.0,5.0,17.0,125.0,2.0,1/23,62.5,7.35,51.0,0.0,0.0
116.0,Zaheer Khan,12.0,2.0,0.0,6.0,4,3.0,13.0,46.15,0.0,0.0,1.0,0.0,23.0,12.0,12.0,43.0,337.0,10.0,4/17,33.7,7.71,26.2,0.0,0.0
117.0,David Wiese,1.0,1.0,1.0,5.0,5*,0.0,4.0,125.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
118.0,Mitchell Johnson,3.0,3.0,1.0,5.0,4,2.5,14.0,35.71,0.0,0.0,0.0,0.0,73.0,3.0,3.0,11.0,106.0,2.0,3/26,53.0,9.63,33.0,0.0,0.0
119.0,Imran Tahir,4.0,1.0,0.0,5.0,5,5.0,7.0,71.42,0.0,0.0,1.0,0.0,46.0,4.0,4.0,16.0,138.0,5.0,4/12,27.6,8.62,19.2,0.0,0.0
120.0,Amit Mishra,14.0,2.0,0.0,4.0,3,2.0,14.0,28.57,0.0,0.0,0.0,0.0,15.0,14.0,14.0,46.0,344.0,13.0,5/17,26.46,7.47,21.23,1.0,0.0
121.0,Barinder Sran,14.0,4.0,4.0,4.0,2*,0.0,4.0,100.0,0.0,0.0,0.0,0.0,11.0,14.0,14.0,49.0,413.0,14.0,3/28,29.5,8.34,21.21,0.0,0.0
122.0,Ankit Sharma,3.0,1.0,1.0,3.0,3*,0.0,3.0,100.0,0.0,0.0,0.0,0.0,80.0,3.0,3.0,11.0,84.0,1.0,2/20,84.0,7.63,66.0,0.0,0.0
123.0,Chris Jordan,9.0,1.0,0.0,3.0,3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,22.0,9.0,9.0,28.0,258.0,11.0,4/11,23.45,9.21,15.27,1.0,0.0
124.0,Shreyas Gopal,1.0,1.0,0.0,2.0,2,2.0,16.0,12.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,
125.0,Mohammad Shami,8.0,2.0,2.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,47.0,8.0,8.0,25.0,244.0,5.0,3/15,48.8,9.69,30.2,0.0,0.0
126.0,Dale Steyn,1.0,1.0,0.0,1.0,1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
127.0,Kane Richardson,4.0,1.0,1.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,35.0,4.0,4.0,14.0,136.0,7.0,3/13,19.42,9.71,12.0,0.0,0.0
128.0,Shahbaz Nadeem,4.0,1.0,1.0,1.0,1*,0.0,5.0,20.0,0.0,0.0,0.0,0.0,68.0,4.0,4.0,15.0,127.0,2.0,3/16,63.5,8.46,45.0,0.0,0.0
129.0,Shadab Jakati,6.0,1.0,1.0,1.0,1*,0.0,2.0,50.0,0.0,0.0,0.0,0.0,69.0,6.0,6.0,20.0,178.0,2.0,4/22,89.0,8.9,60.0,0.0,0.0
130.0,Ashish Nehra,8.0,2.0,2.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,30.0,8.0,8.0,26.0,199.0,9.0,4/10,22.11,7.65,17.33,0.0,0.0
131.0,Morne Morkel,10.0,2.0,2.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,24.0,10.0,10.0,35.0,297.0,10.0,4/20,29.7,8.36,21.3,0.0,0.0
132.0,Swapnil Singh,1.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
133.0,Unmukt Chand,1.0,1.0,0.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
134.0,Adam Zampa,5.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,5.0,17.0,115.0,12.0,6/19,9.58,6.76,8.5,0.0,1.0
135.0,Shivil Kaushik,7.0,2.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,7.0,23.0,192.0,6.0,3/20,32.0,8.34,23.0,0.0,0.0
136.0,Murugan Ashwin,10.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,10.0,10.0,28.0,241.0,7.0,3/21,34.42,8.45,24.42,0.0,0.0
,Yuzvendra Chahal,,,,,,,,,,,,,2.0,13.0,13.0,49.0,401.0,21.0,4/25,19.09,8.15,14.04,1.0,0.0
,Mustafizur Rahman,,,,,,,,,,,,,7.0,16.0,16.0,61.0,421.0,17.0,3/16,24.76,6.9,21.52,0.0,0.0
,Sreenath Aravind,,,,,,,,,,,,,18.0,9.0,9.0,29.0,216.0,11.0,4/14,19.63,7.4,15.9,0.0,0.0
,Ashok Dinda,,,,,,,,,,,,,20.0,9.0,9.0,30.0,231.0,11.0,4/18,21.0,7.57,16.63,0.0,0.0
,Kuldeep Yadav,,,,,,,,,,,,,40.0,3.0,3.0,12.0,100.0,6.0,4/20,16.66,8.33,12.0,0.0,0.0
,Brad Hogg,,,,,,,,,,,,,48.0,5.0,5.0,16.0,142.0,4.0,4/29,35.5,8.87,24.0,0.0,0.0
,RP Singh,,,,,,,,,,,,,52.0,4.0,4.0,12.0,111.0,3.0,4/22,37.0,9.25,24.0,0.0,0.0
,Ankit Rajpoot,,,,,,,,,,,,,53.0,4.0,4.0,11.0,98.0,3.0,5/14,32.66,8.9,22.0,0.0,0.0
,Tabraiz Shamsi,,,,,,,,,,,,,54.0,4.0,4.0,16.0,147.0,3.0,1/21,49.0,9.18,32.0,0.0,0.0
,Ishant Sharma,,,,,,,,,,,,,58.0,4.0,4.0,15.0,148.0,3.0,5/12,49.33,9.86,30.0,0.0,0.0
,Scott Boland,,,,,,,,,,,,,61.0,2.0,2.0,7.0,54.0,2.0,2/31,27.0,7.71,21.0,0.0,0.0
,John Hastings,,,,,,,,,,,,,65.0,2.0,2.0,6.0,37.0,2.0,2/6,18.5,5.55,20.0,0.0,0.0
,Varun Aaron,,,,,,,,,,,,,66.0,8.0,8.0,23.0,227.0,2.0,3/16,113.5,9.59,71.0,0.0,0.0
,Trent Boult,,,,,,,,,,,,,78.0,1.0,1.0,4.0,39.0,1.0,4/18,39.0,9.75,24.0,0.0,0.0
,Adam Milne,,,,,,,,,,,,,79.0,1.0,1.0,4.0,43.0,1.0,2/21,43.0,10.75,24.0,0.0,0.0
,Harshal Patel,,,,,,,,,,,,,86.0,5.0,5.0,14.0,147.0,1.0,5/27,147.0,10.5,84.0,0.0,0.0
